SL No.,Ayurveda Term,Sentence where it appears,Classification
2041,Kapha,"िराह्वा कफिातघ्नी बन्स्तरोगरुजापहा||१७१||  
धावयकं चाजगवधा च सुमुिश्चेतत रोचनाः|  
सुगवधा नाततकटुका दोिानुत्क्तलेशयन्वत च||१७३||  
ग्राही गृञ्जनकस्तीक्ष्णो िातश्लेष्माशघसां हहतः|  
स्िेदनेऽभयिहारे च योजयेत्तमवपवत्तनाम्||१७४||  
kharāhvā kaphavātaghnī bastirogarujāpahā||171||  
dhānyakaṃ cājagandhā ca sumukhaśceti rocanāḥ|  
sugandhā nātikaṭukā doṣānutkleśayanti ca||173||  
grāhī gṛñjanakastīkṣṇo vātaśleṣmārśasāṃ hitaḥ|  
svedane'bhyavahāre ca yojayettamapittinām||174||  
Kharahva (Trachyspermum Roxburghianum Sprague) alleviates Kapha, 
Vata and the disorders of urinary bladder.",Symptom
2042,Vata,"It is useful for piles and diseases 
due to the vitiation of Vata and Kapha.",Symptom
2043,Kapha,"It is useful for piles and diseases 
due to the vitiation of Vata and Kapha.",Symptom
2044,Pitta,"It is to used for fomentation and as 
a food for such people who do not have Pitta in excess.",Symptom
2045,Pitta,"Onion benefits: 
श्लेष्मलो मारुतघ्नश्च पलाण्डुनघ च वपत्तनुत् | 
आहारयोगी बल्यश्च गुरुिृघष्योऽथ रोचनः||१७५|| 
śleṣmalo mārutaghnaśca palāṇḍurna ca pittanut | 
āhārayogī balyaśca gururvṛṣyo’tha rocanaḥ||175|| 
Palandu – Onion(Allium cepa Linn) aggravates Kapha and alleviates Vata, 
but it does not alleviate Pitta.",Symptom
2046,Vata,"Onion benefits: 
श्लेष्मलो मारुतघ्नश्च पलाण्डुनघ च वपत्तनुत् | 
आहारयोगी बल्यश्च गुरुिृघष्योऽथ रोचनः||१७५|| 
śleṣmalo mārutaghnaśca palāṇḍurna ca pittanut | 
āhārayogī balyaśca gururvṛṣyo’tha rocanaḥ||175|| 
Palandu – Onion(Allium cepa Linn) aggravates Kapha and alleviates Vata, 
but it does not alleviate Pitta.",Symptom
2047,Kapha,"Onion benefits: 
श्लेष्मलो मारुतघ्नश्च पलाण्डुनघ च वपत्तनुत् | 
आहारयोगी बल्यश्च गुरुिृघष्योऽथ रोचनः||१७५|| 
śleṣmalo mārutaghnaśca palāṇḍurna ca pittanut | 
āhārayogī balyaśca gururvṛṣyo’tha rocanaḥ||175|| 
Palandu – Onion(Allium cepa Linn) aggravates Kapha and alleviates Vata, 
but it does not alleviate Pitta.",Symptom
2048,Vata,"Garlic benefits: 
क्रक्रसमकुष्ठक्रकलासघ्नो िातघ्नो गुल्मनाशनः| 
न्स्ननधश्चोष्णश्च िृष्यश्च लशुनः कटुको गुरुः||१७६|| 
 
krimikuṣṭhakilāsaghno vātaghno gulmanāśanaḥ| 
snigdhaścoṣṇaśca vṛṣyaśca laśunaḥ kaṭuko guruḥ||176|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1199 
 
Garlic – Lasuna (Allium Sativum Linn) cues infectious, obstinate skin 
disease, disease due to the vitiation of Vata and abdominal tummour.",Symptom
2049,Vata,"शुष्काखण कफिातघ्नावयेतावयेिां फलातन च|  
हररतानामयं चैि िष्ठो िगघः समाप्यते||१७७||  
इतत हररतिगघः 
śuṣkāṇi kaphavātaghnānyetānyeṣāṃ phalāni ca|  
haritānāmayaṃ caiṣa ṣaṣṭho vargaḥ samāpyate||177||  
iti haritavargaḥ 
 
In dried from as also the fruits of these plants that are used in salad from, 
alleviate Kapha and Vata.",Symptom
2050,Kapha,"शुष्काखण कफिातघ्नावयेतावयेिां फलातन च|  
हररतानामयं चैि िष्ठो िगघः समाप्यते||१७७||  
इतत हररतिगघः 
śuṣkāṇi kaphavātaghnānyetānyeṣāṃ phalāni ca|  
haritānāmayaṃ caiṣa ṣaṣṭho vargaḥ samāpyate||177||  
iti haritavargaḥ 
 
In dried from as also the fruits of these plants that are used in salad from, 
alleviate Kapha and Vata.",Symptom
2051,Rakta,"The properties of specific types of wine will now 
be described.[178] 
Different varieties of liquors and their qualities :- 
कृशानां सक्तमूत्राणां ग्रहण्यशोविकाररणाम्| 
सुरा प्रशस्ता िातघ्नी स्तवयरक्तियेिु च||१७९|| 
kṛśānāṃ saktamūtrāṇāṃ grahaṇyarśovikāriṇām| 
surā praśastā vātaghnī stanyaraktakṣayeṣu ca||179|| 
Sura type of wine is useful for patients from emaciation, suppression of 
urine, malabsoprtion syndrome (IBS)and piles.",Ingredient
2052,Vata,"It alleviates Vata and is 
useful in deficient lactation as well as anemia.",Symptom
2053,Vata,"It also 
alleviates Vata.",Symptom
2054,Kapha,"शूलप्रिाहहकाटोपकफिाताशघसां हहतः| 
जगलो ग्राहहरूिोष्णः शोफघ्नो भक्तपाचनः||१८१|| 
śūlapravāhikāṭopakaphavātārśasāṃ hitaḥ| 
jagalo grāhirūkṣoṣṇaḥ śophaghno bhaktapācanaḥ||181|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1201 
 
 
Jagala type of wine is useful in colic pain, dysentery, meteorism, piles 
and oedema.",Symptom
2055,Vata,It alleviates Kapha and Vata.,Symptom
2056,Kapha,It alleviates Kapha and Vata.,Symptom
2057,Kapha,"शोिाशोग्रहणीदोिपाण्डुरोगारुगचज्िरान्| 
हवत्यररष्ः कफकृतान् रोगान्रोचनदीपनः ||१८२|| 
śoṣārśograhaṇīdoṣapāṇḍurogārucijvarān| 
hantyariṣṭaḥ kaphakṛtān rogānrocanadīpanaḥ ||182|| 
Arishta type of wine is useful in Kshaya – emaciation, piles, malabsoprtion 
syndrome (IBS), anemia, anorexia, fever and diseases caused by the 
vitiation of Kapha.",Symptom
2058,Kapha,"It cures diseases caused by the 
improper administration of unctuous substance and vitiation of Kapha.",Symptom
2059,Vata,"It alleviates Vata and is 
palatable.",Symptom
2060,Pitta,"माध्िीकिवन  चात्युष्णो मृद्वीकेिुरसासिः||१८८||  
रोचनं दीपनं हृयं बल्यं वपत्ताविरोगध च|  
विबवधघ्नं कफघ्नं च मधु लघ्िल्पमारुतम्||१८९||  
सुरा समण्डा रूिोष्णा यिानां िातवपत्तला|  
गुिी जीयघतत विष्भय श्लेष्मला तु मधूसलका||१९०||  
दीपनं जरणीयं च हृत्पाण्डुक्रक्रसमरोगनुत्|  
ग्रहण्यशोहहत भेहद सौिीरकतुिोदकम्||१९१||  
दाहज्िरापहं स्पशाघत् पानाद्वातकफापहम्|  
विबवधघ्नमिस्रंसस दीपनं चाम्लकान्ञ्जकम्||१९२|| 
mādhvīkavanna  cātyuṣṇo mṛdvīkekṣurasāsavaḥ||188||  
rocanaṃ dīpanaṃ hṛdyaṃ balyaṃ pittāvirodhi ca|  
vibandhaghnaṃ kaphaghnaṃ ca madhu laghvalpamārutam||189||  
surā samaṇḍā rūkṣoṣṇā yavānāṃ vātapittalā|  
gurvī jīryati viṣṭabhya śleṣmalā tu madhūlikā||190|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1204 
 
dīpanaṃ jaraṇīyaṃ ca hṛtpāṇḍukrimiroganut|  
grahaṇyarśohita bhedi sauvīrakatuṣodakam||191||  
dāhajvarāpahaṃ sparśāt pānādvātakaphāpaham|  
vibandhaghnamavasraṃsi dīpanaṃ cāmlakāñjikam||192|| 
 
Asava prepared with grape and sugarcane juice shares all the Madhvika 
but it is not too hot in potency.",Symptom
2061,Kapha,"माध्िीकिवन  चात्युष्णो मृद्वीकेिुरसासिः||१८८||  
रोचनं दीपनं हृयं बल्यं वपत्ताविरोगध च|  
विबवधघ्नं कफघ्नं च मधु लघ्िल्पमारुतम्||१८९||  
सुरा समण्डा रूिोष्णा यिानां िातवपत्तला|  
गुिी जीयघतत विष्भय श्लेष्मला तु मधूसलका||१९०||  
दीपनं जरणीयं च हृत्पाण्डुक्रक्रसमरोगनुत्|  
ग्रहण्यशोहहत भेहद सौिीरकतुिोदकम्||१९१||  
दाहज्िरापहं स्पशाघत् पानाद्वातकफापहम्|  
विबवधघ्नमिस्रंसस दीपनं चाम्लकान्ञ्जकम्||१९२|| 
mādhvīkavanna  cātyuṣṇo mṛdvīkekṣurasāsavaḥ||188||  
rocanaṃ dīpanaṃ hṛdyaṃ balyaṃ pittāvirodhi ca|  
vibandhaghnaṃ kaphaghnaṃ ca madhu laghvalpamārutam||189||  
surā samaṇḍā rūkṣoṣṇā yavānāṃ vātapittalā|  
gurvī jīryati viṣṭabhya śleṣmalā tu madhūlikā||190|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1204 
 
dīpanaṃ jaraṇīyaṃ ca hṛtpāṇḍukrimiroganut|  
grahaṇyarśohita bhedi sauvīrakatuṣodakam||191||  
dāhajvarāpahaṃ sparśāt pānādvātakaphāpaham|  
vibandhaghnamavasraṃsi dīpanaṃ cāmlakāñjikam||192|| 
 
Asava prepared with grape and sugarcane juice shares all the Madhvika 
but it is not too hot in potency.",Symptom
2062,Pitta,It dos not aggravate Pitta and Vata to a great extant.,Symptom
2063,Vata,It dos not aggravate Pitta and Vata to a great extant.,Symptom
2064,Kapha,"It 
alleviates Kapha and cures constipation.",Symptom
2065,Pitta,It aggravates Vata and Pitta.,Symptom
2066,Vata,It aggravates Vata and Pitta.,Symptom
2067,Kapha,It aggravates Kapha.,Symptom
2068,Vata,"When taken in, it alleviates Vata, Kapha and constipation.",Symptom
2069,Kapha,"When taken in, it alleviates Vata, Kapha and constipation.",Symptom
2070,Vata,"Effects of Receptable and season on rain water: 
श्वेते किायं भितत पाण्डरे स्यात्तु ततक्तकम्|  
कवपले िारसंसृष्मूिरे लिणान्वितम्||१९९||  
कटु पिघतविस्तारे मधुरं कृष्णमृवत्तके|  
एतत् िाड्भगुण्यमाख्यातं महीस्थस्य जलस्य हह|  
तथाऽव्यक्तरसं वियादैवरं कारं हहमं च यत्||२००||  
यदवतरीिात् पततीवरसृष्ं चोक्तैश्च पात्रैः पररगृह्यतेऽम्भः|  
तदैवरसमत्येि िदन्वत धीरा नरेवरपेयं ससललं प्रधानम् ||२०१||  
ईित्किायमधुरं सुसूक्ष्मं विशदं लर्ु|  
अरूिमनसभष्यन्वद सिं पानीयमुत्तमम्||२०२||  
गुिघसभष्यन्वद पानीयं िाविघकं मधुरं निम्|  
तनु लघ्िनसभष्यन्वद प्रायः शरहद ििघतत||२०३||  
तत्तु ये सुकुमाराः स्युः न्स्ननधभूतयष्ठभोजनाः|  
तेिां भोज्ये च भक्ष्ये च लेह्ये पेये च शस्यते||२०४||  
हेमवते ससललं न्स्ननधं िृष्यं बलहहतं गुरु|  
क्रकन्ञ्चत्ततो लर्ुतरं सशसशरे कफिातन्जत्||२०५||  
किायमधुरं रूिं वियाद्वासन्वतकं जलम्|  
ग्रैन्ष्मकं त्िनसभष्यन्वद जलसमत्येि तनश्चयः|  
ऋतािृताविहाख्याताः सिघ एिाम्भसो गुणाः||२०६||  
विभ्रावतेिु तु कालेिु यत् प्रयच्छन्वत तोयदाः|  
ससललं तत्तु दोिाय युज्यते नात्र संशयः||२०७||  
राजभी राजमात्रैश्च सुकुमारैश्च मानिैः|  
सुगृहीताः शरयापः प्रयोक्तव्या विशेितः||२०८|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1208 
 
śvete kaṣāyaṃ bhavati pāṇḍare syāttu tiktakam| 
kapile kṣārasaṃsṛṣṭamūṣare lavaṇānvitam||199|| 
kaṭu parvatavistāre madhuraṃ kṛṣṇamṛttike| 
etat ṣāḍguṇyamākhyātaṃ mahīsthasya jalasya hi| 
tathā'vyaktarasaṃ vidyādaindraṃ kāraṃ himaṃ ca yat||200|| 
yadantarīkṣāt patatīndrasṛṣṭaṃ coktaiśca pātraiḥ parigṛhyate'mbhaḥ| 
tadaindramityeva vadanti dhīrā narendrapeyaṃ salilaṃ pradhānam ||201|| 
īṣatkaṣāyamadhuraṃ susūkṣmaṃ viśadaṃ laghu| 
arūkṣamanabhiṣyandi sarvaṃ pānīyamuttamam||202|| 
gurvabhiṣyandi pānīyaṃ vārṣikaṃ madhuraṃ navam| 
tanu laghvanabhiṣyandi prāyaḥ śaradi varṣati||203|| 
tattu ye sukumārāḥ syuḥ snigdhabhūyiṣṭhabhojanāḥ| 
teṣāṃ bhojye ca bhakṣye ca lehye peye ca śasyate||204|| 
hemante salilaṃ snigdhaṃ vṛṣyaṃ balahitaṃ guru| 
kiñcittato laghutaraṃ śiśire kaphavātajit||205|| 
kaṣāyamadhuraṃ rūkṣaṃ vidyādvāsantikaṃ jalam| 
graiṣmikaṃ tvanabhiṣyandi jalamityeva niścayaḥ| 
ṛtāvṛtāvihākhyātāḥ sarva evāmbhaso guṇāḥ||206|| 
vibhrānteṣu tu kāleṣu yat prayacchanti toyadāḥ| 
salilaṃ tattu doṣāya yujyate nātra saṃśayaḥ||207|| 
rājabhī rājamātraiśca sukumāraiśca mānavaiḥ| 
sugṛhītāḥ śaradyāpaḥ prayoktavyā viśeṣataḥ||208|| 
Effects of Receptable and season on rain water: 
After it has fallen down on the earth, its properties are determined by the 
place where it falls.",Symptom
2071,Kapha,"Effects of Receptable and season on rain water: 
श्वेते किायं भितत पाण्डरे स्यात्तु ततक्तकम्|  
कवपले िारसंसृष्मूिरे लिणान्वितम्||१९९||  
कटु पिघतविस्तारे मधुरं कृष्णमृवत्तके|  
एतत् िाड्भगुण्यमाख्यातं महीस्थस्य जलस्य हह|  
तथाऽव्यक्तरसं वियादैवरं कारं हहमं च यत्||२००||  
यदवतरीिात् पततीवरसृष्ं चोक्तैश्च पात्रैः पररगृह्यतेऽम्भः|  
तदैवरसमत्येि िदन्वत धीरा नरेवरपेयं ससललं प्रधानम् ||२०१||  
ईित्किायमधुरं सुसूक्ष्मं विशदं लर्ु|  
अरूिमनसभष्यन्वद सिं पानीयमुत्तमम्||२०२||  
गुिघसभष्यन्वद पानीयं िाविघकं मधुरं निम्|  
तनु लघ्िनसभष्यन्वद प्रायः शरहद ििघतत||२०३||  
तत्तु ये सुकुमाराः स्युः न्स्ननधभूतयष्ठभोजनाः|  
तेिां भोज्ये च भक्ष्ये च लेह्ये पेये च शस्यते||२०४||  
हेमवते ससललं न्स्ननधं िृष्यं बलहहतं गुरु|  
क्रकन्ञ्चत्ततो लर्ुतरं सशसशरे कफिातन्जत्||२०५||  
किायमधुरं रूिं वियाद्वासन्वतकं जलम्|  
ग्रैन्ष्मकं त्िनसभष्यन्वद जलसमत्येि तनश्चयः|  
ऋतािृताविहाख्याताः सिघ एिाम्भसो गुणाः||२०६||  
विभ्रावतेिु तु कालेिु यत् प्रयच्छन्वत तोयदाः|  
ससललं तत्तु दोिाय युज्यते नात्र संशयः||२०७||  
राजभी राजमात्रैश्च सुकुमारैश्च मानिैः|  
सुगृहीताः शरयापः प्रयोक्तव्या विशेितः||२०८|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1208 
 
śvete kaṣāyaṃ bhavati pāṇḍare syāttu tiktakam| 
kapile kṣārasaṃsṛṣṭamūṣare lavaṇānvitam||199|| 
kaṭu parvatavistāre madhuraṃ kṛṣṇamṛttike| 
etat ṣāḍguṇyamākhyātaṃ mahīsthasya jalasya hi| 
tathā'vyaktarasaṃ vidyādaindraṃ kāraṃ himaṃ ca yat||200|| 
yadantarīkṣāt patatīndrasṛṣṭaṃ coktaiśca pātraiḥ parigṛhyate'mbhaḥ| 
tadaindramityeva vadanti dhīrā narendrapeyaṃ salilaṃ pradhānam ||201|| 
īṣatkaṣāyamadhuraṃ susūkṣmaṃ viśadaṃ laghu| 
arūkṣamanabhiṣyandi sarvaṃ pānīyamuttamam||202|| 
gurvabhiṣyandi pānīyaṃ vārṣikaṃ madhuraṃ navam| 
tanu laghvanabhiṣyandi prāyaḥ śaradi varṣati||203|| 
tattu ye sukumārāḥ syuḥ snigdhabhūyiṣṭhabhojanāḥ| 
teṣāṃ bhojye ca bhakṣye ca lehye peye ca śasyate||204|| 
hemante salilaṃ snigdhaṃ vṛṣyaṃ balahitaṃ guru| 
kiñcittato laghutaraṃ śiśire kaphavātajit||205|| 
kaṣāyamadhuraṃ rūkṣaṃ vidyādvāsantikaṃ jalam| 
graiṣmikaṃ tvanabhiṣyandi jalamityeva niścayaḥ| 
ṛtāvṛtāvihākhyātāḥ sarva evāmbhaso guṇāḥ||206|| 
vibhrānteṣu tu kāleṣu yat prayacchanti toyadāḥ| 
salilaṃ tattu doṣāya yujyate nātra saṃśayaḥ||207|| 
rājabhī rājamātraiśca sukumāraiśca mānavaiḥ| 
sugṛhītāḥ śaradyāpaḥ prayoktavyā viśeṣataḥ||208|| 
Effects of Receptable and season on rain water: 
After it has fallen down on the earth, its properties are determined by the 
place where it falls.",Symptom
2072,Vata,"Water available during the Hemanta (winter) season is unctuous, 
aphrodisiac, strength promoting and heavy; 
Water of the Shishira (later part of winter) is slightly lighter and balances 
Kapha and Vata.",Symptom
2073,Kapha,"Water available during the Hemanta (winter) season is unctuous, 
aphrodisiac, strength promoting and heavy; 
Water of the Shishira (later part of winter) is slightly lighter and balances 
Kapha and Vata.",Symptom
2074,Vata,"Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1214 
 
Camel milk: 
रूिोष्णं िीरमुष्ट्रीणामीित्सलिणं लर्ु| 
शस्तं िातकफानाहक्रक्रसमशोफोदराशघसाम्||२२०|| 
 
rūkṣoṣṇaṃ kṣīramuṣṭrīṇāmīṣatsalavaṇaṃ laghu| 
śastaṃ vātakaphānāhakrimiśophodarārśasām||220|| 
Milk of the camel is 
Rooksha – dry 
Ushna – hot 
slightly salt, 
Laghu – light to digest 
Useful in Anaha (bloating, constipation), parasitic infection, odema, ascites, 
piles and other diseases due to the vitiation of Vata and Kapha.",Symptom
2075,Kapha,"Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1214 
 
Camel milk: 
रूिोष्णं िीरमुष्ट्रीणामीित्सलिणं लर्ु| 
शस्तं िातकफानाहक्रक्रसमशोफोदराशघसाम्||२२०|| 
 
rūkṣoṣṇaṃ kṣīramuṣṭrīṇāmīṣatsalavaṇaṃ laghu| 
śastaṃ vātakaphānāhakrimiśophodarārśasām||220|| 
Milk of the camel is 
Rooksha – dry 
Ushna – hot 
slightly salt, 
Laghu – light to digest 
Useful in Anaha (bloating, constipation), parasitic infection, odema, ascites, 
piles and other diseases due to the vitiation of Vata and Kapha.",Symptom
2076,Vata,"Ekashapha 
बल्यं स्थैयघकरं सिघमुष्णं चैकशफं पयः|  
साम्लं सलिणं रूिं शािािातहरं लर्ु||२२१|| 
balyaṃ sthairyakaraṃ sarvamuṣṇaṃ caikaśaphaṃ payaḥ| 
sāmlaṃ salavaṇaṃ rūkṣaṃ śākhāvātaharaṃ laghu||221||  
Ekashapha - The milk of Animals having one hoof (that is, mare, ass etc) 
is all 
Balya – improves strength and immunity 
Stairyakara – stabilizing, 
Ushna – hot 
sour, salt, unctuous, cures Vata diseases of extremities and light.",Symptom
2077,Pitta,"Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1215 
 
Goat milk, sheep milk, Elephant milk  
साम्लं सलिणं रूिं शािािातहरं लर्ु||२२१||  
छागं किायमधुरं शीतं ग्राहह पयो लर्ु|  
रक्तवपत्ताततसारघ्नं ियकासज्िरापहम्||२२२||  
हहक्तकाश्वासकरं तूष्णं वपत्तश्लेष्मलमाविकम्| 
हन्स्तनीनां पयो बल्यं गुरु स्थैयघकरं परम्||२२३|| 
 sāmlaṃ salavaṇaṃ rūkṣaṃ śākhāvātaharaṃ laghu||221||  
chāgaṃ kaṣāyamadhuraṃ śītaṃ grāhi payo laghu|  
raktapittātisāraghnaṃ kṣayakāsajvarāpaham||222||  
hikkāśvāsakaraṃ tūṣṇaṃ pittaśleṣmalamāvikam| 
hastinīnāṃ payo balyaṃ guru sthairyakaraṃ param||223||  
Goat milk – Ajaksheera 
Milk of the goat is astringent as well as sweet in taste, 
cold, 
Grahi – absorbant, bowel binding 
Laghu – light to digest 
and it is useful for persons suffering from Raktapitta (a diseases 
characterized by bleeding from various parts of the body), diarrhea, Kshaya 
– emaciation, coughing and fever.",Symptom
2078,Rakta,"Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1215 
 
Goat milk, sheep milk, Elephant milk  
साम्लं सलिणं रूिं शािािातहरं लर्ु||२२१||  
छागं किायमधुरं शीतं ग्राहह पयो लर्ु|  
रक्तवपत्ताततसारघ्नं ियकासज्िरापहम्||२२२||  
हहक्तकाश्वासकरं तूष्णं वपत्तश्लेष्मलमाविकम्| 
हन्स्तनीनां पयो बल्यं गुरु स्थैयघकरं परम्||२२३|| 
 sāmlaṃ salavaṇaṃ rūkṣaṃ śākhāvātaharaṃ laghu||221||  
chāgaṃ kaṣāyamadhuraṃ śītaṃ grāhi payo laghu|  
raktapittātisāraghnaṃ kṣayakāsajvarāpaham||222||  
hikkāśvāsakaraṃ tūṣṇaṃ pittaśleṣmalamāvikam| 
hastinīnāṃ payo balyaṃ guru sthairyakaraṃ param||223||  
Goat milk – Ajaksheera 
Milk of the goat is astringent as well as sweet in taste, 
cold, 
Grahi – absorbant, bowel binding 
Laghu – light to digest 
and it is useful for persons suffering from Raktapitta (a diseases 
characterized by bleeding from various parts of the body), diarrhea, Kshaya 
– emaciation, coughing and fever.",Ingredient
2079,Pitta,"It also alleviates 
Pitta and Kapha.",Symptom
2080,Kapha,"It also alleviates 
Pitta and Kapha.",Symptom
2081,Rakta,"Human milk benefits: 
जीिनं बृंहणं सात्म्यं स्नेहनं मानुिं पयः| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1216 
 
नािनं रक्तवपत्ते च तपघणं चाक्षिशूसलनाम्||२२४|| 
jīvanaṃ bṛṃhaṇaṃ sātmyaṃ snehanaṃ mānuṣaṃ payaḥ| 
nāvanaṃ raktapitte ca tarpaṇaṃ cākṣiśūlinām||224|| 
Human breast milk is invigorating, nourishing, wholesome and oleating.",Ingredient
2082,Pitta,"As 
an inhalation, it is useful for Rakta Pitta (haemothemia).",Symptom
2083,Rakta,"As 
an inhalation, it is useful for Rakta Pitta (haemothemia).",Ingredient
2084,Pitta,"[217-224] 
Curds qualities and benefits: 
रोचनं दीपनं िृष्यं स्नेहनं बलिधघनम्| 
पाकेऽम्लमुष्णं िातघ्नं मङ्गल्यं बृंहणं दगध||२२५|| 
पीनसे चाततसारे च शीतके वििमज्िरे| 
अरुचौ मूत्रकृच्रे च काश्ये च दगध शस्यते||२२६|| 
शरद्धग्रीष्मिसवतेिु प्रायशो दगध गहहघतम्| 
रक्तवपत्तकफोत्थेिु विकारेष्िहहतं च तत्||२२७|| 
 
rocanaṃ dīpanaṃ vṛṣyaṃ snehanaṃ balavardhanam| 
pāke’mlamuṣṇaṃ vātaghnaṃ maṅgalyaṃ bṛṃhaṇaṃ dadhi||225|| 
pīnase cātisāre ca śītake viṣamajvare| 
arucau mūtrakṛcchre ca kārśye ca dadhi śasyate||226|| 
śaradgrīṣmavasanteṣu prāyaśo dadhi garhitam| 
raktapittakaphottheṣu vikāreṣvahitaṃ ca tat||227|| 
Curd is 
Rochana – improves taste, appetizer 
Deepana – improves digestion strength 
Vrushya – aphrodisiac 
Snehana – imparts oiliness Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1217 
 
Balavardhana – improves strength and immunity 
Amla Vipaka – Sour taste conversion after digestion 
Ushna – hot 
Vataghna – Balances Vata 
Mangalya – auspicious 
Brumhana – improves nourishment 
Useful in 
Pinasa (rhinitis), 
Atisara – diarrhea, 
Sheetaka (fever with cold), 
Vishamajwara – irregular fever, 
Aruchi – Anorexia, lack of interest in food 
Mutrakrichra – dysuria, difficulty to pass urine 
Karshya – emaciation 
It is generally harmful during autumn, summer and spring seasons.",Symptom
2085,Vata,"[217-224] 
Curds qualities and benefits: 
रोचनं दीपनं िृष्यं स्नेहनं बलिधघनम्| 
पाकेऽम्लमुष्णं िातघ्नं मङ्गल्यं बृंहणं दगध||२२५|| 
पीनसे चाततसारे च शीतके वििमज्िरे| 
अरुचौ मूत्रकृच्रे च काश्ये च दगध शस्यते||२२६|| 
शरद्धग्रीष्मिसवतेिु प्रायशो दगध गहहघतम्| 
रक्तवपत्तकफोत्थेिु विकारेष्िहहतं च तत्||२२७|| 
 
rocanaṃ dīpanaṃ vṛṣyaṃ snehanaṃ balavardhanam| 
pāke’mlamuṣṇaṃ vātaghnaṃ maṅgalyaṃ bṛṃhaṇaṃ dadhi||225|| 
pīnase cātisāre ca śītake viṣamajvare| 
arucau mūtrakṛcchre ca kārśye ca dadhi śasyate||226|| 
śaradgrīṣmavasanteṣu prāyaśo dadhi garhitam| 
raktapittakaphottheṣu vikāreṣvahitaṃ ca tat||227|| 
Curd is 
Rochana – improves taste, appetizer 
Deepana – improves digestion strength 
Vrushya – aphrodisiac 
Snehana – imparts oiliness Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1217 
 
Balavardhana – improves strength and immunity 
Amla Vipaka – Sour taste conversion after digestion 
Ushna – hot 
Vataghna – Balances Vata 
Mangalya – auspicious 
Brumhana – improves nourishment 
Useful in 
Pinasa (rhinitis), 
Atisara – diarrhea, 
Sheetaka (fever with cold), 
Vishamajwara – irregular fever, 
Aruchi – Anorexia, lack of interest in food 
Mutrakrichra – dysuria, difficulty to pass urine 
Karshya – emaciation 
It is generally harmful during autumn, summer and spring seasons.",Symptom
2086,Jwara,"[217-224] 
Curds qualities and benefits: 
रोचनं दीपनं िृष्यं स्नेहनं बलिधघनम्| 
पाकेऽम्लमुष्णं िातघ्नं मङ्गल्यं बृंहणं दगध||२२५|| 
पीनसे चाततसारे च शीतके वििमज्िरे| 
अरुचौ मूत्रकृच्रे च काश्ये च दगध शस्यते||२२६|| 
शरद्धग्रीष्मिसवतेिु प्रायशो दगध गहहघतम्| 
रक्तवपत्तकफोत्थेिु विकारेष्िहहतं च तत्||२२७|| 
 
rocanaṃ dīpanaṃ vṛṣyaṃ snehanaṃ balavardhanam| 
pāke’mlamuṣṇaṃ vātaghnaṃ maṅgalyaṃ bṛṃhaṇaṃ dadhi||225|| 
pīnase cātisāre ca śītake viṣamajvare| 
arucau mūtrakṛcchre ca kārśye ca dadhi śasyate||226|| 
śaradgrīṣmavasanteṣu prāyaśo dadhi garhitam| 
raktapittakaphottheṣu vikāreṣvahitaṃ ca tat||227|| 
Curd is 
Rochana – improves taste, appetizer 
Deepana – improves digestion strength 
Vrushya – aphrodisiac 
Snehana – imparts oiliness Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1217 
 
Balavardhana – improves strength and immunity 
Amla Vipaka – Sour taste conversion after digestion 
Ushna – hot 
Vataghna – Balances Vata 
Mangalya – auspicious 
Brumhana – improves nourishment 
Useful in 
Pinasa (rhinitis), 
Atisara – diarrhea, 
Sheetaka (fever with cold), 
Vishamajwara – irregular fever, 
Aruchi – Anorexia, lack of interest in food 
Mutrakrichra – dysuria, difficulty to pass urine 
Karshya – emaciation 
It is generally harmful during autumn, summer and spring seasons.",Disease
